                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50739,                0.95913,                 1.7603,                0.82717,                0.95455,                0.90016,                0.81285,                0.46153,                0.60269,                 1.9944,             0.00013336,             0.00013336,             0.00013336
                      2,                0.39899,                0.70408,                 1.7369,                 0.8738,                0.95455,                0.89043,                 0.8361,                0.34393,                 0.5387,                 2.2283,             0.00028292,             0.00028292,             0.00028292
                      3,                0.38591,                0.64095,                 1.6759,                0.90225,                0.90909,                0.90947,                0.85401,                0.35774,                0.50765,                 2.2317,             0.00043199,             0.00043199,             0.00043199
                      4,                0.40302,                0.60328,                 1.7779,                0.90433,                0.90909,                0.90625,                0.84939,                0.40484,                0.48787,                  1.587,             0.00058056,             0.00058056,             0.00058056
                      5,                 0.3845,                0.56918,                 1.6874,                0.97941,                0.86364,                0.90251,                 0.8329,                0.45226,                0.47793,                 1.5203,             0.00072864,             0.00072864,             0.00072864
                      6,                0.38968,                0.55228,                 1.6961,                0.95252,                0.86364,                0.90315,                0.84166,                0.42268,                0.47905,                 1.4875,             0.00087622,             0.00087622,             0.00087622
                      7,                0.40246,                 0.5172,                 1.5951,                0.99003,                0.86364,                0.90771,                 0.8493,                0.37125,                 0.4517,                 1.6889,              0.0010233,              0.0010233,              0.0010233
                      8,                0.41127,                0.48667,                 1.5791,                0.91638,                0.90909,                0.95302,                0.90044,                0.35498,                0.42764,                 1.8961,              0.0011699,              0.0011699,              0.0011699
                      9,                0.44514,                0.48666,                 1.7401,                0.93445,                0.90909,                 0.9632,                0.91597,                0.34964,                0.41651,                 1.8605,               0.001316,               0.001316,               0.001316
                     10,                0.42245,                0.50317,                 1.6308,                 0.9399,                0.90909,                0.96626,                0.91497,                0.35314,                0.39843,                 1.4914,              0.0014616,              0.0014616,              0.0014616
                     11,                0.41701,                 0.4757,                 1.7357,                 0.9379,                0.90909,                0.95655,                 0.9127,                0.36721,                0.40624,                 1.3767,              0.0016067,              0.0016067,              0.0016067
                     12,                0.39024,                0.46588,                 1.5537,                0.99803,                0.85077,                0.91693,                0.87216,                0.39167,                0.50184,                 2.4381,              0.0016367,              0.0016367,              0.0016367
                     13,                0.40922,                 0.4349,                 1.5133,                0.88768,                0.90598,                0.90041,                0.85209,                0.41001,                0.55899,                 2.8637,               0.001634,               0.001634,               0.001634
                     14,                0.41694,                0.48167,                 1.5915,                0.89017,                0.90671,                0.89339,                0.85119,                0.40363,                0.54142,                  3.019,              0.0016312,              0.0016312,              0.0016312
