                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35643,                 1.0689,                 1.6208,                0.99358,                0.89521,                0.90185,                 0.8397,                0.35953,                0.88729,                 1.5678,             0.00010002,             0.00010002,             0.00010002
                      2,                0.32071,                0.80269,                 1.5742,                0.84846,                    0.9,                0.91071,                0.88058,                0.35479,                0.67049,                 1.5626,             0.00021564,             0.00021564,             0.00021564
                      3,                0.35213,                0.76364,                 1.5996,                0.95433,                    0.8,                  0.925,                0.86544,                0.35977,                0.57537,                 1.5417,              0.0003301,              0.0003301,              0.0003301
                      4,                0.33936,                0.66678,                 1.6099,                0.98662,                 0.7896,                0.90214,                0.84416,                0.36735,                  0.547,                  1.529,             0.00044341,             0.00044341,             0.00044341
                      5,                0.34549,                0.67189,                 1.6279,                0.78838,                    0.9,                0.80795,                0.75655,                0.37423,                0.51991,                 1.5093,             0.00055556,             0.00055556,             0.00055556
                      6,                0.34002,                0.60414,                 1.6652,                0.81409,                0.89467,                0.80795,                 0.7526,                0.37159,                0.50456,                 1.4861,             0.00066655,             0.00066655,             0.00066655
                      7,                 0.3803,                0.57527,                 1.6785,                0.80889,                    0.9,                0.90045,                0.84558,                0.36238,                0.46808,                  1.494,              0.0007764,              0.0007764,              0.0007764
                      8,                0.35729,                0.55212,                  1.643,                0.84831,                    0.9,                0.91667,                0.85862,                0.37174,                0.44835,                 1.4994,             0.00088508,             0.00088508,             0.00088508
                      9,                0.35883,                0.52981,                  1.678,                0.86753,                    0.9,                0.92045,                0.86707,                0.37305,                0.43027,                 1.4947,             0.00099261,             0.00099261,             0.00099261
                     10,                0.35831,                0.50762,                 1.6439,                0.87901,                0.88805,                  0.925,                0.86387,                 0.3674,                0.39814,                 1.4941,               0.001099,               0.001099,               0.001099
                     11,                0.40944,                 0.5844,                 1.6203,                0.87034,                    0.9,                  0.925,                0.85846,                0.38797,                0.37658,                  1.503,              0.0012042,              0.0012042,              0.0012042
                     12,                0.36303,                0.52298,                 1.6135,                0.98711,                    0.9,                0.94045,                0.88698,                 0.4012,                0.40051,                 1.5192,              0.0013083,              0.0013083,              0.0013083
                     13,                0.42186,                0.58418,                 1.7034,                0.98298,                    0.9,                0.93667,                0.88764,                  0.389,                0.41185,                  1.523,              0.0014112,              0.0014112,              0.0014112
                     14,                  0.378,                0.53155,                 1.6476,                0.97357,                    0.9,                0.93667,                0.87828,                 0.3976,                0.43266,                 1.5256,              0.0015129,              0.0015129,              0.0015129
                     15,                0.38362,                0.53046,                 1.7227,                0.97707,                    0.9,                0.93346,                0.85797,                 0.4093,                0.42399,                 1.5979,              0.0015515,              0.0015515,              0.0015515
                     16,                0.40139,                0.59104,                 1.8146,                 0.8785,                    0.9,                0.88132,                0.82127,                0.37687,                0.44889,                 1.5755,              0.0015432,              0.0015432,              0.0015432
                     17,                0.37309,                 0.5127,                 1.6888,                0.87748,                    0.9,                0.84328,                0.78707,                0.39251,                0.45749,                  1.565,               0.001535,               0.001535,               0.001535
                     18,                0.36056,                0.48143,                  1.539,                0.87721,                    0.9,                0.85396,                0.78768,                0.41987,                0.44655,                 1.5968,              0.0015267,              0.0015267,              0.0015267
                     19,                 0.4084,                 0.5171,                 1.7143,                0.76605,                    0.9,                 0.8906,                0.82795,                0.41366,                0.43992,                 1.6144,              0.0015185,              0.0015185,              0.0015185
                     20,                0.40605,                0.51633,                 1.6533,                0.81961,                    0.9,                0.91113,                0.83437,                0.44988,                0.45304,                 1.5931,              0.0015102,              0.0015102,              0.0015102
                     21,                0.37605,                0.44737,                 1.5758,                0.80852,                    0.9,                0.87278,                0.80549,                0.45472,                 0.4593,                 1.5706,               0.001502,               0.001502,               0.001502
                     22,                0.42057,                0.52627,                   1.78,                  0.951,                    0.8,                0.86924,                0.80213,                0.44786,                0.45648,                 1.5408,              0.0014937,              0.0014937,              0.0014937
                     23,                0.32368,                0.48075,                  1.475,                0.98444,                 0.8956,                 0.8991,                0.82439,                0.45918,                0.47645,                 1.5581,              0.0014855,              0.0014855,              0.0014855
                     24,                 0.4105,                0.53551,                 1.7028,                0.97181,                    0.9,                0.89641,                0.82026,                0.46921,                0.50469,                 1.5539,              0.0014772,              0.0014772,              0.0014772
                     25,                0.42844,                0.50176,                 1.7372,                 0.9893,                0.89783,                0.89647,                0.81959,                0.46047,                 0.4948,                 1.5231,               0.001469,               0.001469,               0.001469
                     26,                0.41805,                0.51123,                 1.6794,                0.99425,                0.87385,                0.90542,                 0.8372,                0.43027,                0.43484,                 1.5215,              0.0014607,              0.0014607,              0.0014607
                     27,                0.38561,                0.55125,                 1.6797,                0.93455,                    0.9,                0.91063,                0.85026,                0.38258,                0.43988,                 1.5208,              0.0014525,              0.0014525,              0.0014525
                     28,                0.37766,                 0.4903,                 1.5868,                0.96634,                    0.9,                0.90088,                0.83868,                 0.3804,                0.42686,                 1.5994,              0.0014442,              0.0014442,              0.0014442
                     29,                0.36955,                0.47464,                 1.5886,                0.97652,                    0.9,                0.91286,                0.84935,                0.37997,                0.41307,                 1.6125,               0.001436,               0.001436,               0.001436
                     30,                0.37408,                0.46836,                 1.6049,                0.98205,                    0.9,                0.93071,                0.86514,                 0.3876,                0.38962,                 1.5467,              0.0014277,              0.0014277,              0.0014277
                     31,                0.39788,                0.49736,                 1.7537,                0.98545,                    0.9,                0.94045,                0.86957,                0.39661,                0.35943,                 1.5238,              0.0014195,              0.0014195,              0.0014195
                     32,                0.42087,                0.48059,                 1.7528,                 0.9857,                    0.9,                  0.945,                0.87597,                0.40791,                0.35921,                 1.5204,              0.0014112,              0.0014112,              0.0014112
                     33,                0.42119,                0.49201,                 1.7344,                0.98681,                    0.9,                  0.945,                 0.8768,                0.42984,                0.36027,                 1.5438,              0.0014029,              0.0014029,              0.0014029
                     34,                0.39165,                0.48673,                 1.6551,                0.99153,                0.88382,                0.94045,                0.86492,                0.44511,                0.37187,                 1.5466,              0.0013947,              0.0013947,              0.0013947
                     35,                0.34896,                0.49464,                 1.5751,                0.97801,                    0.8,                0.90333,                0.83202,                0.43899,                0.38157,                 1.5056,              0.0013864,              0.0013864,              0.0013864
                     36,                0.38819,                0.53759,                 1.7264,                0.98123,                0.88368,                0.93667,                 0.8527,                 0.4258,                 0.3982,                 1.4684,              0.0013782,              0.0013782,              0.0013782
                     37,                0.38283,                0.48389,                 1.6356,                0.98223,                0.88952,                0.94045,                0.87493,                0.41152,                 0.3888,                  1.458,              0.0013699,              0.0013699,              0.0013699
                     38,                0.35645,                0.48094,                 1.6213,                0.96892,                    0.9,                0.97833,                0.90159,                0.42631,                0.36466,                 1.4793,              0.0013617,              0.0013617,              0.0013617
                     39,                0.37313,                0.46591,                  1.598,                0.88582,                      1,                0.97833,                0.90751,                0.40032,                0.34435,                 1.4804,              0.0013534,              0.0013534,              0.0013534
                     40,                0.36019,                0.45162,                 1.6137,                0.98693,                 0.8746,                0.96643,                0.89531,                0.40202,                0.34572,                 1.4794,              0.0013452,              0.0013452,              0.0013452
                     41,                0.41717,                0.51238,                 1.7152,                0.81896,                      1,                0.94643,                0.86629,                0.39489,                0.35825,                 1.5003,              0.0013369,              0.0013369,              0.0013369
                     42,                0.38647,                0.49013,                 1.6988,                0.82666,                      1,                0.92643,                0.85057,                0.41228,                0.36701,                 1.5373,              0.0013287,              0.0013287,              0.0013287
                     43,                0.37921,                 0.4496,                 1.6745,                0.81817,                      1,                0.92643,                0.82808,                0.41447,                0.34145,                 1.5264,              0.0013204,              0.0013204,              0.0013204
                     44,                0.37898,                0.45343,                 1.6643,                0.89263,                   0.99,                0.97833,                0.87117,                0.40117,                0.34532,                  1.504,              0.0013122,              0.0013122,              0.0013122
                     45,                0.38426,                0.46475,                 1.6549,                0.89187,                0.98273,                0.97833,                0.87454,                0.39996,                0.35059,                 1.5013,              0.0013039,              0.0013039,              0.0013039
                     46,                0.39445,                0.51994,                 1.7228,                0.96495,                    0.9,                0.97833,                0.86164,                0.40365,                0.36699,                 1.4783,              0.0012957,              0.0012957,              0.0012957
                     47,                0.37166,                0.43123,                 1.6648,                0.87546,                      1,                0.97833,                0.87072,                0.40083,                0.39582,                 1.5043,              0.0012874,              0.0012874,              0.0012874
                     48,                0.36586,                0.43229,                  1.607,                 0.8246,                      1,                0.86348,                0.78987,                0.40649,                0.42018,                 1.5398,              0.0012792,              0.0012792,              0.0012792
                     49,                0.35445,                0.46428,                  1.649,                0.83287,                      1,                0.86348,                0.78165,                0.42472,                0.43155,                 1.5535,              0.0012709,              0.0012709,              0.0012709
                     50,                0.35541,                0.44917,                 1.5906,                0.83354,                0.97947,                0.90643,                0.80118,                0.43786,                0.42017,                 1.5516,              0.0012627,              0.0012627,              0.0012627
                     51,                0.36156,                0.46132,                 1.7821,                0.79002,                      1,                  0.845,                0.76675,                0.44166,                0.41864,                  1.515,              0.0012544,              0.0012544,              0.0012544
                     52,                0.38704,                0.49507,                 1.6469,                0.85837,                      1,                0.92833,                0.84168,                0.41565,                 0.3921,                 1.5154,              0.0012462,              0.0012462,              0.0012462
                     53,                0.40706,                0.48507,                 1.8747,                0.82517,                      1,                0.88071,                0.79984,                0.42325,                0.38742,                 1.5113,              0.0012379,              0.0012379,              0.0012379
                     54,                0.40861,                0.49273,                 1.7817,                0.83011,                      1,                0.90929,                0.82729,                0.41213,                0.38596,                 1.5044,              0.0012297,              0.0012297,              0.0012297
                     55,                0.37192,                 0.4535,                 1.6111,                0.83604,                0.99287,                0.92643,                0.83998,                0.42984,                0.40563,                 1.5149,              0.0012214,              0.0012214,              0.0012214
                     56,                0.37707,                0.41832,                 1.5575,                0.87032,                    0.9,                0.95056,                0.87101,                 0.4135,                0.39057,                 1.4823,              0.0012132,              0.0012132,              0.0012132
                     57,                0.37318,                0.48631,                 1.5987,                0.98096,                0.87868,                  0.945,                0.85231,                0.41644,                0.38816,                 1.4692,              0.0012049,              0.0012049,              0.0012049
                     58,                 0.3338,                0.43757,                 1.6336,                0.97014,                    0.8,                0.91667,                0.83454,                0.42654,                0.40462,                 1.4908,              0.0011967,              0.0011967,              0.0011967
                     59,                 0.3402,                0.45408,                 1.6015,                0.98432,                0.89277,                0.91352,                0.83455,                0.45368,                0.39323,                  1.497,              0.0011884,              0.0011884,              0.0011884
                     60,                 0.3427,                0.42664,                 1.5481,                0.98708,                    0.9,                0.90564,                0.82255,                0.42643,                0.38755,                 1.5224,              0.0011802,              0.0011802,              0.0011802
                     61,                0.36111,                0.45777,                 1.6673,                0.98582,                    0.9,                0.91113,                0.82681,                 0.4252,                 0.3771,                 1.5311,              0.0011719,              0.0011719,              0.0011719
                     62,                0.36031,                0.44873,                 1.6686,                0.98494,                    0.9,                0.93071,                0.84371,                0.42796,                0.36556,                 1.5144,              0.0011636,              0.0011636,              0.0011636
                     63,                0.36523,                0.44926,                 1.7292,                0.97875,                    0.8,                0.92045,                0.85744,                 0.4019,                0.35094,                 1.4877,              0.0011554,              0.0011554,              0.0011554
                     64,                0.37407,                0.48235,                 1.6639,                0.97578,                    0.8,                0.91167,                0.84954,                0.38746,                0.35579,                   1.46,              0.0011471,              0.0011471,              0.0011471
                     65,                0.38178,                0.45364,                 1.5667,                0.97689,                    0.8,                0.91722,                0.84941,                 0.4059,                0.35858,                 1.4558,              0.0011389,              0.0011389,              0.0011389
                     66,                0.35958,                0.42532,                 1.5767,                0.98691,                    0.8,                   0.92,                0.86032,                0.41107,                0.36376,                 1.4703,              0.0011306,              0.0011306,              0.0011306
