                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2709,                 6.4058,                 2.1811,                0.00748,                0.59524,                0.11138,                0.03345,                 1.8101,                 8.1443,                 1.9547,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.0891,                 2.8273,                 1.2761,                 0.4151,                0.86851,                0.69342,                0.45278,                0.97684,                 4.6433,                 1.2662,             0.00028283,             0.00028283,             0.00028283
                      3,                0.77282,                 1.7203,                 1.0798,                0.68896,                0.78571,                 0.7855,                0.59385,                0.90379,                 2.9279,                 1.2097,              0.0004317,              0.0004317,              0.0004317
                      4,                0.73215,                  1.391,                 1.0793,                0.89633,                0.69536,                0.79128,                0.60464,                 1.0951,                 1.6413,                 1.3477,             0.00057998,             0.00057998,             0.00057998
                      5,                0.76172,                 1.2796,                 1.0821,                0.52287,                0.42143,                0.53117,                0.21402,                 1.1729,                  6.208,                 1.0879,             0.00072767,             0.00072767,             0.00072767
                      6,                0.76925,                 1.1475,                 1.0744,                0.57229,                0.80714,                0.62256,                0.37865,                 1.2245,                 2.6675,                 1.2894,             0.00087476,             0.00087476,             0.00087476
                      7,                0.80883,                 1.2659,                 1.1309,                0.74649,                0.81493,                0.80049,                0.51916,                 1.3634,                  1.962,                 1.4341,              0.0010213,              0.0010213,              0.0010213
                      8,                0.74305,                 1.1198,                 1.0647,                0.48776,                0.58333,                0.44855,                0.26624,                 1.5873,                 5.0893,                 1.7614,              0.0011672,              0.0011672,              0.0011672
                      9,                0.77327,                 1.0881,                 1.0918,                0.35315,                0.63333,                0.31573,                0.18909,                  1.552,                 7.3022,                 1.7424,              0.0013125,              0.0013125,              0.0013125
                     10,                0.78433,                 1.1551,                 1.1074,                0.84926,                0.57582,                0.73089,                0.37948,                 1.5006,                 3.4585,                 1.5087,              0.0014572,              0.0014572,              0.0014572
                     11,                0.84529,                 1.1296,                 1.1262,                0.98005,                0.40476,                0.44807,                0.30426,                 1.5971,                 2.5139,                 1.8071,              0.0016013,              0.0016013,              0.0016013
                     12,                0.79343,                  1.072,                 1.1654,                    0.5,                 0.4033,                0.40345,                0.24571,                 1.9826,                 5.1425,                  2.127,              0.0016307,              0.0016307,              0.0016307
                     13,                0.75945,                  1.066,                 1.0714,                0.49226,                0.35714,                0.36269,                0.24216,                 1.8263,                 15.354,                 1.6757,              0.0016274,              0.0016274,              0.0016274
                     14,                0.75572,                 1.0608,                 1.0733,                0.57687,                0.82638,                0.80629,                0.44373,                 1.3264,                 6.2298,                 1.4475,              0.0016241,              0.0016241,              0.0016241
                     15,                0.78327,                 1.0128,                 1.0892,                0.60081,                 0.8247,                 0.7747,                 0.5667,                 1.0877,                 3.0711,                 1.3048,              0.0016208,              0.0016208,              0.0016208
                     16,                0.76357,                0.94487,                 1.0607,                0.46715,                0.85974,                0.72897,                0.56833,                0.84869,                  4.762,                 1.1142,              0.0016175,              0.0016175,              0.0016175
                     17,                0.70665,                0.97822,                 1.0388,                0.77424,                0.79424,                 0.7735,                0.60818,                0.89327,                 1.9987,                 1.1921,              0.0016142,              0.0016142,              0.0016142
                     18,                0.73766,                0.88191,                 1.0378,                0.62171,                0.78571,                 0.8201,                0.60562,                0.92253,                  4.059,                 1.2045,              0.0016109,              0.0016109,              0.0016109
                     19,                 0.7829,                0.93734,                 1.0434,                0.69584,                0.77202,                0.85678,                0.69892,                0.77177,                 1.6911,                0.98964,              0.0016076,              0.0016076,              0.0016076
                     20,                 0.7413,                0.95111,                 1.0613,                0.68134,                0.85476,                0.89101,                0.60678,                0.96423,                 1.9344,                  1.109,              0.0016043,              0.0016043,              0.0016043
                     21,                0.67887,                0.86814,                 1.0064,                0.63113,                 0.7787,                0.81594,                0.60844,                0.97696,                  2.389,                 1.1292,               0.001601,               0.001601,               0.001601
                     22,                 0.6895,                0.92602,                 1.0395,                0.61725,                0.74712,                0.74466,                 0.4317,                 1.5251,                 2.6593,                 1.7813,              0.0015977,              0.0015977,              0.0015977
                     23,                0.68123,                0.87426,                 1.0435,                0.70461,                0.76832,                0.79413,                  0.474,                 1.3287,                 1.9507,                 1.4002,              0.0015944,              0.0015944,              0.0015944
                     24,                0.74251,                0.97466,                 1.0672,                0.75677,                0.73333,                 0.8594,                0.58511,                  1.087,                 1.6006,                 1.1879,              0.0015911,              0.0015911,              0.0015911
                     25,                0.68836,                0.87497,                  1.028,                0.77242,                 0.8838,                0.91366,                0.72781,                  0.873,                 1.0453,                 1.1148,              0.0015878,              0.0015878,              0.0015878
                     26,                0.64589,                 0.9041,                 1.0448,                0.72241,                0.90476,                0.91419,                0.73982,                0.85134,                 1.2621,                0.98515,              0.0015845,              0.0015845,              0.0015845
                     27,                0.68832,                0.83893,                 1.0271,                0.69049,                0.91458,                0.91072,                0.71343,                0.85718,                0.91618,                  1.092,              0.0015812,              0.0015812,              0.0015812
                     28,                0.62815,                0.86779,                 1.0194,                0.81551,                0.78784,                0.90517,                 0.7423,                 0.8302,                0.94547,                  1.012,              0.0015779,              0.0015779,              0.0015779
                     29,                0.64543,                0.86946,                 1.0131,                0.95896,                0.80476,                0.93664,                0.79284,                0.80444,                0.79323,                 1.0281,              0.0015746,              0.0015746,              0.0015746
                     30,                0.65331,                0.82479,                0.99659,                 0.9624,                0.79867,                 0.9288,                 0.7558,                0.81654,                0.81356,                 1.0072,              0.0015713,              0.0015713,              0.0015713
                     31,                0.60542,                0.76455,                0.98955,                0.80632,                0.90929,                 0.9442,                0.74342,                 0.8009,                0.87613,                0.99177,               0.001568,               0.001568,               0.001568
                     32,                  0.654,                0.87795,                 1.0242,                0.53146,                0.60476,                0.59318,                0.40866,                 1.0071,                 1.3353,                 1.0748,              0.0015647,              0.0015647,              0.0015647
                     33,                0.61049,                0.83125,                0.99968,                0.82027,                0.55476,                0.64398,                0.35066,                 1.4459,                 1.3112,                 1.2844,              0.0015614,              0.0015614,              0.0015614
                     34,                0.58441,                0.76812,                0.99098,                0.98721,                0.65153,                0.81478,                0.63087,                0.85187,                 1.0319,                 1.0046,              0.0015581,              0.0015581,              0.0015581
                     35,                0.59718,                0.76311,                0.97958,                0.93228,                0.80476,                0.95137,                0.79277,                0.71416,                0.67546,                0.93718,              0.0015548,              0.0015548,              0.0015548
                     36,                0.66506,                0.76601,                0.99816,                0.96783,                0.80476,                0.94883,                0.77549,                0.73463,                0.69623,                0.95981,              0.0015515,              0.0015515,              0.0015515
                     37,                0.63581,                0.80861,                 1.0186,                0.94315,                0.84694,                0.93326,                0.77439,                0.75007,                0.72467,                0.96696,              0.0015482,              0.0015482,              0.0015482
                     38,                0.59181,                0.72674,                0.97338,                0.95638,                0.75476,                0.90652,                0.74994,                0.87988,                0.77229,                 1.0612,              0.0015449,              0.0015449,              0.0015449
                     39,                 0.6432,                0.77122,                 1.0012,                0.76406,                0.82857,                0.87544,                0.61417,                 1.0355,                 1.0831,                 1.1289,              0.0015416,              0.0015416,              0.0015416
                     40,                0.60732,                0.76246,                0.99508,                0.73285,                0.90476,                0.90135,                   0.73,                0.86792,                 1.0607,                 1.0471,              0.0015383,              0.0015383,              0.0015383
                     41,                0.57502,                0.71848,                0.96085,                0.71889,                0.92017,                0.90589,                0.69492,                 1.0415,                 2.0995,                 1.2213,               0.001535,               0.001535,               0.001535
                     42,                 0.5729,                0.79075,                0.97009,                0.78482,                  0.886,                0.83467,                0.52943,                 1.3002,                  1.437,                 1.3561,              0.0015317,              0.0015317,              0.0015317
                     43,                0.59452,                0.79228,                0.98334,                0.73264,                0.94155,                0.89277,                0.73099,                 0.7106,                0.91591,                0.95613,              0.0015284,              0.0015284,              0.0015284
                     44,                0.58113,                0.78759,                0.98992,                0.78179,                0.90476,                0.91153,                0.78213,                0.68184,                0.97345,                0.92898,              0.0015251,              0.0015251,              0.0015251
                     45,                0.55239,                0.72433,                0.96141,                0.89318,                 0.7677,                0.90924,                0.76336,                0.75497,                0.90603,                 0.9651,              0.0015218,              0.0015218,              0.0015218
                     46,                0.54914,                 0.7441,                0.97845,                0.90097,                0.89108,                0.95525,                0.82471,                  0.644,                0.83162,                0.92509,              0.0015185,              0.0015185,              0.0015185
                     47,                0.58163,                0.77391,                 0.9631,                0.96986,                0.84692,                0.94964,                0.79817,                0.68496,                0.81604,                 0.9545,              0.0015152,              0.0015152,              0.0015152
                     48,                0.53268,                0.79099,                0.96486,                0.93327,                0.72973,                0.91591,                0.77015,                0.66179,                 0.7986,                0.95292,              0.0015119,              0.0015119,              0.0015119
                     49,                0.55416,                0.73966,                0.94254,                0.95367,                0.75476,                0.90161,                0.73894,                 0.7272,                0.78178,                0.95153,              0.0015086,              0.0015086,              0.0015086
                     50,                 0.5468,                0.75447,                0.96061,                0.98346,                0.75476,                0.90659,                 0.7454,                0.76572,                0.84521,                  1.002,              0.0015053,              0.0015053,              0.0015053
                     51,                0.57167,                0.68481,                0.97116,                0.97663,                0.90103,                0.97832,                0.78587,                0.82697,                0.73315,                 1.0964,               0.001502,               0.001502,               0.001502
                     52,                0.52787,                0.62947,                0.96816,                0.97426,                0.85476,                0.97088,                0.78462,                0.74147,                0.74448,                 1.0545,              0.0014987,              0.0014987,              0.0014987
                     53,                0.51938,                0.71875,                0.95834,                0.99526,                0.76604,                 0.9693,                0.77098,                0.78379,                0.78673,                 1.0966,              0.0014954,              0.0014954,              0.0014954
                     54,                0.53448,                0.72162,                 0.9456,                0.96347,                0.85165,                0.95246,                0.81911,                0.67974,                0.65729,                0.96441,              0.0014921,              0.0014921,              0.0014921
                     55,                0.53325,                0.66597,                0.99531,                0.93006,                0.90476,                0.97107,                0.81101,                0.69971,                0.78501,                 1.0129,              0.0014888,              0.0014888,              0.0014888
                     56,                0.53624,                0.70235,                0.96434,                0.91395,                0.90942,                0.95184,                0.79788,                0.75478,                0.79288,                0.99686,              0.0014855,              0.0014855,              0.0014855
                     57,                0.50974,                0.69839,                0.95056,                0.98999,                0.85744,                 0.9598,                0.80744,                0.70681,                0.67351,                0.98986,              0.0014822,              0.0014822,              0.0014822
                     58,                0.57505,                 0.6853,                0.97807,                0.97363,                0.81576,                0.95324,                0.78595,                0.75796,                0.76951,                 1.0309,              0.0014789,              0.0014789,              0.0014789
                     59,                0.55052,                0.65017,                 0.9513,                 0.9162,                0.81435,                0.88367,                0.63814,                0.96672,                 1.0119,                 1.1295,              0.0014756,              0.0014756,              0.0014756
                     60,                0.52784,                0.65841,                0.96696,                0.84156,                0.91807,                0.95127,                0.80032,                0.68943,                 0.6798,                0.93286,              0.0014723,              0.0014723,              0.0014723
                     61,                0.54641,                0.70208,                0.96799,                0.92099,                0.80476,                0.93421,                 0.8005,                0.72072,                0.72701,                0.97724,               0.001469,               0.001469,               0.001469
                     62,                0.59427,                0.72277,                 1.0226,                0.84605,                0.90851,                0.94166,                0.80751,                0.74182,                0.76311,                 1.0396,              0.0014657,              0.0014657,              0.0014657
                     63,                0.50526,                0.65679,                0.95579,                0.87987,                0.91585,                0.95416,                0.79428,                0.70574,                0.63421,                0.96644,              0.0014624,              0.0014624,              0.0014624
                     64,                0.51051,                0.65538,                0.96507,                 0.7971,                0.87857,                0.91637,                0.74164,                0.86188,                0.88077,                 1.0753,              0.0014591,              0.0014591,              0.0014591
                     65,                0.54947,                0.68286,                0.97657,                0.98079,                0.71895,                0.91543,                0.74859,                 0.8125,                0.85937,                 1.0294,              0.0014558,              0.0014558,              0.0014558
                     66,                0.52038,                0.70375,                0.96553,                0.88355,                0.88851,                0.94907,                0.79293,                  0.788,                0.73377,                 1.0187,              0.0014525,              0.0014525,              0.0014525
                     67,                0.55146,                0.66081,                0.96031,                0.83765,                0.90476,                0.92056,                0.77562,                 0.7409,                 0.8196,                0.97298,              0.0014492,              0.0014492,              0.0014492
                     68,                0.50843,                0.69623,                0.97038,                0.84604,                0.90476,                0.92314,                0.79192,                0.66513,                0.75325,                0.89106,              0.0014459,              0.0014459,              0.0014459
                     69,                0.48825,                0.70306,                0.94037,                0.93766,                0.85476,                0.93978,                0.80401,                0.65765,                0.65552,                0.90575,              0.0014426,              0.0014426,              0.0014426
